00.0101 头部血管治疗性超声
73.0900x001 分娩时人工破膜
73.1x00x003 放置探条引产术
73.4x00x008 前列腺素促子宫颈成熟[普贝生引产]
73.4x00x009 营养饮食引产
73.4x01 催产素引产
73.4x02 米索前列醇引产
73.4x03 米非司酮引产
73.4x04 前列腺素引产
73.5100 手法旋转胎头
73.5900x002 头位阴道助产
73.5900x003 克勒德手法助产[Crede]
75.1x00 诊断性羊膜穿刺
75.3200 胎儿心电图(头皮)
75.3400x001 胎心监测
75.3500x001 催产素激惹实验(oct)
75.3500x003 子宫内压力测定
75.3800 胎儿脉搏血氧计
75.9900x001 产后子宫颈探查术
76.0901 下颌骨切开引流术
76.0902 上颌骨切开引流术
76.0904 颌骨囊肿开窗引流术
76.1100 面骨活组织检查
76.1101 颌骨活组织检查术
76.1901 关节镜颞颌关节检查术
77.4101 肩胛骨活组织检查
77.4102 锁骨活组织检查
77.4103 肋骨活组织检查
77.4104 胸骨活组织检查
77.4200 肱骨活组织检查
77.4301 桡骨活组织检查
77.4302 尺骨活组织检查
77.4401 腕骨活组织检查
77.4402 掌骨活组织检查
77.4500 股骨活组织检查
77.4600 髌骨活组织检查
77.4701 胫骨活组织检查
77.4702 腓骨活组织检查
77.4801 跗骨活组织检查
77.4802 跖骨活组织检查
77.4900x004 跟骨活检术
77.4900x005 距骨活检术
77.4900x006 楔骨活检术
77.4900x007 髂骨活检术
77.4901 骨盆活组织检查
77.4902 指骨活组织检查
77.4903 趾骨活组织检查
77.4904 椎骨活组织检查
78.8100 肩胛骨，锁骨和胸廓［肋骨和胸骨］诊断性操作
78.8100x001 肩胛骨穿刺活组织检查
78.8100x002 锁骨穿刺活组织检查
78.8100x003 肋骨穿刺活组织检查
78.8100x004 胸骨穿刺活组织检查
78.8200 肱骨诊断性操作
78.8200x001 肱骨穿刺活组织检查
78.8300 桡骨和尺骨诊断性操作
78.8300x001 桡骨穿刺活组织检查
78.8300x002 尺骨穿刺活组织检查
78.8400 腕骨和掌骨诊断性操作
78.8400x001 腕骨穿刺活组织检查
78.8400x002 掌骨穿刺活组织检查
78.8500 股骨诊断性操作
78.8500x001 股骨穿刺活组织检查
78.8600 髌骨诊断性操作
78.8600x001 髌骨穿刺活组织检查
78.8700 胫骨和腓骨诊断性操作
78.8700x001 胫骨穿刺活组织检查
78.8700x002 腓骨穿刺活组织检查
78.8800 跗骨和跖骨诊断性操作
78.8800x001 跗骨穿刺活组织检查
78.8800x002 跖骨穿刺活组织检查
78.8900 其他骨诊断性操作
78.8900x001 骨盆穿刺活组织检查
78.8900x002 椎骨穿刺活组织检查
80.2000 关节镜检查
80.2100 关节镜肩关节检查
80.2200 关节镜肘关节检查
80.2300 关节镜腕关节检查
80.2401 关节镜指关节检查
80.2500 关节镜髋关节检查
80.2600 关节镜膝关节检查
80.2700 关节镜踝关节检查
80.2801 关节镜趾关节检查
80.2900 关节镜其他特指关节检查
80.3000 关节结构的活组织检查
80.3100 肩关节结构的活组织检查
80.3200 肘关节结构的活组织检查
80.3300 腕关节结构的活组织检查
80.3401 指关节活组织检查
80.3500 髋关节结构的活组织检查
80.3600 膝关节结构的活组织检查
80.3700 踝关节结构的活组织检查
80.3800 足和趾关节结构的活组织检查
80.3900x001 骶髂关节活组织检查
80.3901 胸锁关节活组织检查
80.3902 脊柱关节活组织检查
81.9800 关节结构的其他诊断性操作
82.9200 手黏液囊抽吸术
82.9400 手黏液囊治疗性药物注入
83.0904 软组织切开引流术
83.2100 软组织活组织检查
83.9500x001 软组织抽吸
83.9501 超声引导下躯干软组织病损抽吸术
83.9502 超声引导下颈部软组织病损抽吸术
83.9600 黏液囊治疗性药物注入
83.9700 腱治疗性药物注入
83.9800x001 软组织治疗性药物局部注射
84.5100x002 碳纤维脊椎融合物置入术
84.5100x003 陶瓷脊椎融合物置入术
84.5100x004 金属脊椎融合物置入术
84.5100x005 塑胶脊椎融合物置入术
84.5100x006 钛合金脊椎融合物置入术
84.5100x007 3D 打印脊椎融合物置入术
84.5200 重组骨形态形成蛋白的置入
84.7100x001 应用单平面外固定架
84.7200x001 应用环形外固定架系统
84.7300x001 应用组合外固定架系统
85.0x00x002 乳房切开引流术
85.0x01 乳房皮肤切开引流术
85.0x02 乳腺导管切开引流术
85.1100x001 乳房穿刺活检
85.1100x003 乳管镜下乳腺活检
85.1200x001 乳腺活检术
85.1900x002 乳管镜检查
85.2000x002 乳房皮肤和皮下组织非切除性清创
85.9100 乳房抽吸术
85.9200x001 乳房抗生素注射
86.0400x011 皮肤和皮下组织切开引流术
86.0401 创面封闭式负压引流术（VSD）
86.0402 男性会阴切开引流术
86.0600x004 药物治疗泵置入
86.0601 输注泵置入术
86.0602 输注泵置换术
86.0603 化疗泵置入术
86.0701 静脉输液港植入术
86.0900x006 化疗泵管位置调整
86.0900x007 皮下药物置入术
86.1100 皮肤和皮下组织的活组织检查
86.1900 皮肤和皮下组织的其他诊断性操作
86.2701 甲床清创术
86.2800x012 皮肤和皮下组织非切除性清创
86.3x17 皮肤病损微波治疗
87.0100 气脑造影图
87.0201 脑室充气造影
87.0300x001 头部 CT 检查
87.0301 脑 CT 检查
87.0302 头颈部 CTA
87.0400x001 头颈部血管 CT 显像
87.0501 泪囊造影
87.0600x001 鼻咽造影
87.0700x001 喉造影
87.0900x001 腮腺造影
87.0900x002 下颌下腺造影
87.0901 颈部 X 线检查
87.1100 全口牙 X 线检查
87.1200x001 牙 X 线检查
87.1201 根管 X 线检查
87.1300x001 颞下颌关节造影
87.1400x001 眼眶造影
87.1500x001 鼻窦造影
87.1600x006 颧骨 X 线检查
87.1600x007 面部骨 X 线检查
87.1601 下颌骨 X 线检查
87.1602 上颌骨 X 线检查
87.1603 鼻窦 X 线检查
87.1604 鼻 X 线检查
87.1605 眼眶 X 线检查
87.1700x001 颅骨 X 线检查
87.2100x002 椎管造影
87.2101 椎间盘造影
87.2102 脊髓造影
87.2200x001 颈椎 X 线检查
87.2200x002 颈椎间盘造影
87.2300x001 胸椎 X 线检查
87.2300x002 胸椎间盘造影
87.2400x001 腰椎间盘造影
87.2400x004 骶尾 X 线检查
87.2401 腰椎 X 线检查
87.2402 腰骶椎 X 线检查
87.2900x001 脊柱 X 线检查
87.3100x001 支气管造影
87.3201 经环状软骨支气管造影
87.3300 纵隔充气造影图
87.3400x001 纵隔淋巴管造影
87.3501 乳腺导管造影
87.3600x001 乳腺钼靶像
87.3701 乳腺钼钯检查
87.3801 胸壁瘘管造影图
87.3900 胸壁其他软组织 X 线
87.4100x004 胸部血管 CT 显像
87.4101 胸部 CT 检查
87.4102 肺 CT 检查
87.4103 冠状动脉 CT 血管显像
87.4104 心脏 CT 检查
87.4200 胸其他断层照相术
87.4300x004 肋骨胸骨锁骨 X 线检查
87.4301 肋骨 X 线检查
87.4302 胸骨 X 线检查
87.4303 锁骨 X 线检查
87.4401 胸部 X 线检查
87.4900x001 心脏 X 线检查
87.5101 经皮肝穿刺胆管造影
87.5200 静脉胆管造影图
87.5300 手术中胆管造影图
87.5400x003 胰胆管造影
87.5401 胆管造影
87.5402 胆总管造影
87.5403 胆道 T 管造影
87.5900x002 术中胆囊造影
87.5900x003 内镜下胆囊造影
87.5901 胆囊造影
87.6101 钡餐造影
87.6200x001 上消化道造影
87.6300 小肠造影
87.6400x001 下消化道造影
87.6401 结肠钡灌肠造影
87.6500 肠的其他 X 线检查
87.6600x001 胰腺造影
87.6900x001 全消化道造影
87.6901 全胃肠造影
87.7101 肾 CT 检查
87.7102 肾血管 CT 显像
87.7200 其他肾断层照相图
87.7301 静脉输尿管肾盂造影
87.7302 尿路造影
87.7401 逆行输尿管造影
87.7402 逆行输尿管肾盂造影
87.7403 逆行尿路造影
87.7500 经皮肾盂造影图
87.7600 逆行膀胱尿道造影图
87.7700x001 膀胱造影
87.7800 回肠代膀胱造影图
87.7901 尿路平片（KUB)
87.8100 妊娠子宫 X 线检查
87.8201 子宫-输卵管充气造影
87.8300x001 子宫-输卵管造影
87.8300x002 输卵管碘油造影
87.8400 经皮子宫造影图
87.8501 子宫造影
87.8502 输卵管造影
87.8900 女性生殖器官的其他 X 线检查
87.9100 对比剂精囊造影图
87.9201 前列腺造影
87.9202 精囊造影
87.9300x001 附睾造影
87.9400x001 输精管造影
87.9501 附睾的其他 X 线检查
87.9502 输精管的其他 X 线检查
87.9900 男性生殖器官的其他 X 线检查
88.0100x001 腹部 CT 检查
88.0100x002 腹部血管 CT 显像
88.0101 肝脏 CT 检查
88.0102 胰腺 CT 检查
88.0103 盆腔 CT 检查
88.0104 肾上腺 CT 检查
88.0200 其他腹部断层照相图
88.0300 腹壁窦道造影图
88.0400 腹淋巴管造影图
88.0401 盆腔淋巴管造影
88.0900 腹壁的其他软组织 X 线检查
88.1101 盆腔造影
88.1201 盆腔充气造影
88.1300 其他腹腔充气造影图
88.1400 腹膜后瘘管造影图
88.1500 腹膜后充气造影图
88.1600 其他腹膜后 X 线检查
88.1901 腹部平片
88.2101 肩关节 X 线检查
88.2102 上臂 X 线检查
88.2201 肘关节 X 线检查
88.2202 前臂 X 线检查
88.2301 腕关节 X 线检查
88.2302 手 X 线检查
88.2303 手指 X 线检查
88.2400 上肢骨骼 X 线检查
88.2500 骨盆测量
88.2601 髋关节 X 线检查
88.2602 骨盆 X 线检查
88.2603 骶骼关节 X 线检查
88.2701 股骨 X 线检查
88.2702 膝关节 X 线检查
88.2703 胫腓骨 X 线检查
88.2801 踝关节 X 线检查
88.2802 足 X 线检查
88.2900 下肢骨骼 X 线检查
88.3100 骨骼摄片
88.3200x001 关节造影
88.3201 肩关节造影
88.3202 肘关节造影
88.3203 腕关节造影
88.3204 髋关节造影
88.3205 膝关节造影
88.3206 踝关节造影
88.3301 骨龄测量
88.3400 上肢淋巴管造影图
88.3500 上肢的其他软组织 X 线检查
88.3600 下肢的淋巴管造影图
88.3700 下肢的其他软组织 X 线检查
88.3800x002 颈椎 CT 检查
88.3800x003 胸椎 CT 检查
88.3800x004 腰椎 CT 检查
88.3800x005 肘关节 CT 检查
88.3800x006 踝关节 CT 检查
88.3800x007 髋关节 CT 检查
88.3800x008 膝关节 CT 检查
88.3800x014 甲状腺 CT 检查
88.3800x015 生殖系 CT 检查
88.3800x016 泌尿系 CT 检查
88.3800x017 肱骨 CT 检查
88.3800x018 尺骨 CT 检查
88.3800x019 桡骨 CT 检查
88.3800x020 腕骨 CT 检查
88.3800x021 掌骨 CT 检查
88.3800x022 指骨 CT 检查
88.3800x023 股骨 CT 检查
88.3800x024 胫骨 CT 检查
88.3800x025 腓骨 CT 检查
88.3800x026 跗骨 CT 检查
88.3800x027 跖骨 CT 检查
88.3800x028 趾骨 CT 检查
88.3800x029 骨盆 CT 检查
88.3800x030 肩关节 CT 检查
88.3800x031 腕关节 CT 检查
88.3800x032 指关节 CT 检查
88.3800x033 趾关节 CT 检查
88.3800x034 骶髂关节 CT 检查
88.3800x035 跟骨 CT 检查
88.3800x036 距骨 CT 检查
88.3800x037 上颌骨 CT 检查
88.3800x038 咽喉部 CT 检查
88.3800x039 锁骨下血管 CT 显像
88.3800x040 脊髓血管 CT 显像
88.3800x041 上肢血管 CT 显像
88.3800x042 下肢血管 CT 显像
88.3800x043 骶尾椎 CT 检查
88.3800x044 颈部 CT 检查
88.3801 脊柱 CT 检查
88.3802 关节 CT 检查
88.3803 肢体 CT 检查
88.3804 鼻窦 CT 检查
88.3805 眼 CT 检查
88.3900x001 全身淋巴管造影
88.4000 对比剂动脉造影术
88.7100x001 颈部超声检查
88.7100x002 头部超声检查
88.7100x004 经颅多普勒颈动脉血流图
88.7100x005 经颅多普勒眶动脉脑血流图
88.7101 颈动脉多普勒氏超声检查
88.7102 脑回波检查法
88.7103 甲状腺超声检查
88.7104 经颅多普勒超声检查(TCD)
88.7200x004 心脏多普勒血流图
88.7201 超声心动图
88.7202 经食道超声心动图
88.7300x003 胸部超声检查
88.7300x004 肺彩色超声检查
88.7300x005 乳房彩色超声检查
88.7301 肺超声检查
88.7302 乳房超声检查
88.7303 主动脉弓超声检查
88.7400x001 食管超声检查
88.7400x002 胃超声检查
88.7400x003 食管彩色超声检查
88.7400x004 胃彩色超声检查
88.7400x005 直肠超声检查
88.7400x006 消化道系统超声检查
88.7400x007 肝脏超声造影
88.7401 肝胆胰超声检查
88.7402 肝血管超声声学造影
88.7403 肝超声检查
88.7404 胆道超声检查
88.7500x001 泌尿系超声检查
88.7501 经直肠前列腺诊断性超声
88.7502 前列腺超声检查
88.7503 肾超声检查
88.7504 膀胱超声检查
88.7600x001 腹部超声检查
88.7600x002 腹部彩色超声检查
88.7601 肝胆胰脾超声检查
88.7700x001 下肢血管超声检查
88.7700x002 上肢血管超声检查
88.7700x003 颈部血管超声检查
88.7700x004 胸部血管超声检查
88.7700x005 肾血管超声检查
88.7700x006 腹部血管超声检查
88.7700x007 锁骨下动脉超声检查
88.7701 肢体血管超声检查
88.7800 妊娠子宫的诊断性超声
88.7801 经阴道妊娠子宫超声检查
88.7900x001 盆腔超声检查
88.7900x004 子宫超声检查
88.7900x005 腕关节超声检查
88.7900x007 背部超声检查
88.7900x008 肩关节超声检查
88.7900x009 膝关节超声检查
88.7900x010 经阴道子宫超声检查
88.7900x013 髋关节超声检查
88.7901 经腹妇科超声检查
88.7902 经阴道妇科超声检查
88.7903 经直肠妇科超声检查
88.7904 关节超声检查
88.7905 浅表淋巴结超声检查
88.7906 阴囊超声检查
88.7907 软组织超声检查
88.8100 脑热影像图
88.8200 眼热影像图
88.8300 骨热影像图
88.8300x002 骨关节热影像图
88.8400 肌热影像图
88.8500 乳房热影像图
88.8600 血管热影像图
88.8901 淋巴热像图
88.9000x001 眼光学相干断层扫描(OCT)
88.9100x003 头部血管核磁共振检查
88.9101 头部磁共振检查
88.9201 心脏磁共振检查
88.9202 胸部磁共振检查
88.9203 乳腺磁共振检查
88.9301 颈椎磁共振检查
88.9302 胸椎磁共振检查
88.9303 腰椎磁共振检查
88.9304 骶尾椎磁共振检查
88.9401 上肢磁共振检查
88.9402 下肢磁共振检查
88.9501 骨盆磁共振检查
88.9502 前列腺磁共振检查
88.9503 膀胱磁共振检查
88.9504 核磁共振泌尿系造影(MRU)
88.9600 其他手术中磁共振影像
88.9700x002 眼眶核磁共振检查
88.9700x004 颈部核磁共振检查
88.9700x006 核磁共振胰胆管造影(MRCP)
88.9700x007 核磁共振排粪检查
88.9701 鼻窦核磁共振检查
88.9702 颈部磁共振检查
88.9703 腹部磁共振检查
88.9704 眼磁共振检查
88.9705 颈部血管核磁共振检查
88.9800 骨矿物质密度检查
89.0100 简单会谈和评估
89.0200 局限性会谈和评估
89.0300 全面会谈和评估
89.0301 人体残伤测定
89.0400 其他会谈和评估
89.0500 诊断性会谈和评估
89.0601 单科会诊
89.0700 全面会诊
89.0800x002 远程会诊
89.0801 院外会诊
89.0900 会诊
89.1000 颈内动脉异戊巴比妥试验
89.1100 眼压测量法
89.1200 鼻功能性检查
89.1201 嗅觉检测
89.1300 神经系统检查
89.1301 脑干听觉诱发电位
89.1400 脑电图
89.1500x001 体感诱发电位[SEP]
89.1600 新生儿颅骨透照法
89.1700x001 多导睡眠脑电图
89.1701 睡眠监测
89.1702 多导睡眠呼吸监测
89.1800x001 多导睡眠监测
89.1900x001 视频脑电图监测
89.1900x002 脑电双频指数监测[BIS]
89.2100 尿路压力测定
89.2200 膀胱内压图
89.2300 尿道括约肌肌电图
89.2400 尿流量测定[UFR]
89.2500 尿道压力分布图[UPP]
89.2600x001 妇科手法检查
89.2600x003 骨盆内外测量
89.2901 尿生物测定
89.2902 尿化学检查
89.3100 牙科检查
89.3200 食管压力测定
89.3300 肠造口指检
89.3300x002 结肠造口指检
89.3400 直肠指检
89.3500 鼻窦透照法
89.3600 乳房手法检查
89.3700 肺活量测定
89.3701 肺功能测定
89.3702 肺功能康复评定
89.3800x003 跨肺压监测
89.3801 气道激发试验
89.3901 13C-尿素呼气试验
89.3902 肛门直肠压力测定
89.3903 食管内 24 小时 PH 监测
89.3904 营养状态评估
89.4101 活动平板运动试验
89.4200 马斯特斯二阶应激试验
89.4301 蹬车运动试验
89.4401 铊应激试验伴经食管心室起搏
89.4402 铊应激试验不伴经食管心室起搏
89.4501 人工起搏器功能检查
89.4600 人工起搏器伪差波形检查
89.4700 人工起搏器电极阻抗检查
89.4800 人工起搏器电压或电流阈值检查
89.4900 自动化可置入的复率器（或）除颤器(AICD)检查
89.5001 24 小时动态心电图
89.5100 节律心电图
89.5200 心电图
89.5300 心电向量图(用 ECG)
89.5400 心电监测
89.5501 心音图
89.5600 用 ECG 导联的颈动脉搏动
89.5700 心尖心动图(用 ECG 导联)
89.5801 Rigiscan 检查
89.5900x002 动脉硬化检测
89.5900x003 直立倾斜试验
89.5901 心电生理检查
89.6000x001 连续血氧饱和度监测
89.6100x001 24 小时血压监测
89.6200 中心静脉压监测
89.6300 肺动脉压监测
89.6400x001 漂浮导管检查[Swan-Ganz 导管插入]
89.6400x003 肺动脉嵌入压监测
89.6500x002 动脉血气分析
89.6600 混合静脉血气测量
89.6700 心脏排出量监测，用氧耗技术
89.6800x001 持续心排量监测（非有创）(NICCO)
89.6801 心脏排出量监测（PICCO）
89.6900 冠状动脉血流监测
89.7x00 全身体格检查
89.8x00 尸检
90.0100 神经系统标本和脊髓液的显微镜检查，细菌涂片
90.0200 神经系统标本和脊髓液的显微镜检查，培养
90.0300 神经系统标本和脊髓液的显微镜检查，培养和敏感试验
90.0400 神经系统标本和脊髓液的显微镜检查，寄生虫学检查
90.0500 神经系统标本和脊髓液的显微镜检查，毒理学检查
90.0600 神经系统标本和脊髓液的显微镜检查，细胞块和帕帕尼科拉乌涂片
90.0900 神经系统标本和脊髓液的显微镜检查其他显微镜检查
90.1100 内分泌腺标本的显微镜检查，NEC，细菌涂片
90.1200 内分泌腺标本的显微镜检查，NEC，培养
90.1300 内分泌腺标本的显微镜检查，NEC，培养和敏感试验
90.1400 内分泌腺标本的显微镜检查，NEC，寄生虫学检查
90.1500 内分泌腺标本的显微镜检查，NEC，毒理学检查
90.1600 内分泌腺标本的显微镜检查，NEC，细胞块和帕帕尼科拉乌涂片
90.1900 内分泌腺标本的显微镜检查，NEC 其他显微镜检查
90.2100 眼标本的显微镜检查，细菌涂片
90.2200 眼标本的显微镜检查，培养
90.2300 眼标本的显微镜检查，培养和敏感试验
90.2400 眼标本的显微镜检查，寄生虫学检查
90.2500 眼标本的显微镜检查，毒理学检查
90.2600 眼标本的显微镜检查，细胞块和帕帕尼科拉乌涂片
90.2900 眼标本的显微镜检查其他显微镜检查
90.3100 耳、鼻、咽和喉标本的显微镜检查，细菌涂片
90.3200 耳、鼻、咽和喉标本的显微镜检查，培养
90.3300 耳、鼻、咽和喉标本的显微镜检查，培养和敏感试验
90.3400 耳、鼻、咽和喉标本的显微镜检查，寄生虫学检查
90.3500 耳、鼻、咽和喉标本的显微镜检查，毒理学检查
90.3600 耳、鼻、咽和喉标本的显微镜检查，细胞块和帕帕尼科拉乌涂片
90.3900 耳、鼻、咽和喉标本的显微镜检查其他显微镜检查
90.4100 气管、支气管、胸膜、肺标本和其他胸部标本和痰的显微镜检查，细菌涂片
90.4200 气管、支气管、胸膜、肺标本和其他胸部标本和痰的显微镜检查，培养
90.4300 气管、支气管、胸膜、肺标本和其他胸部标本和痰的显微镜检查，培养和敏感试验
90.4400 气管、支气管、胸膜、肺标本和其他胸部标本和痰的显微镜检查，寄生虫学检查
90.4500 气管、支气管、胸膜、肺标本和其他胸部标本和痰的显微镜检查，毒理学检查
90.4600 气管、支气管、胸膜、肺标本和其他胸部标本和痰的显微镜检查，细胞块和帕帕尼科拉乌涂片
90.4900 气管、支气管、胸膜、肺标本和其他胸部标本和痰的显微镜检查其他显微镜检查
90.5100 血显微镜检查，细菌涂片
90.5200 血显微镜检查，培养
90.5300 血显微镜检查，培养和敏感试验
90.5400 血显微镜检查，寄生虫学检查
90.5500 血显微镜检查，毒理学检查
90.5600 血显微镜检查，细胞块和帕帕尼科拉乌涂片
90.5900 血显微镜检查其他显微镜检查
90.6100 脾标本和骨髓的显微镜检查，细菌涂片
90.6200 脾标本和骨髓的显微镜检查，培养
90.6300 脾标本和骨髓的显微镜检查，培养和敏感试验
90.6400 脾标本和骨髓的显微镜检查，寄生虫学检查
90.6500 脾标本和骨髓的显微镜检查，毒理学检查
90.6600 脾标本和骨髓的显微镜检查，细胞块和帕帕尼科拉乌涂片
90.6900 脾标本和骨髓的显微镜检查其他显微镜检查
90.7100 淋巴结和淋巴标本的显微镜检查，细菌涂片
90.7200 淋巴结和淋巴标本的显微镜检查，培养
90.7300 淋巴结和淋巴标本的显微镜检查，培养和敏感试验
90.7400 淋巴结和淋巴标本的显微镜检查，寄生虫学检查
90.7500 淋巴结和淋巴标本的显微镜检查，毒理学检查
90.7600 淋巴结和淋巴标本的显微镜检查，细胞块和帕帕尼科拉乌涂片
90.7900 淋巴结和淋巴标本的显微镜检查其他显微镜检查
90.8100 上消化道标本和呕吐物的显微镜检查，细菌涂片
90.8200 上消化道标本和呕吐物的显微镜检查，培养
90.8300 上消化道标本和呕吐物的显微镜检查，培养和敏感试验
90.8400 上消化道标本和呕吐物的显微镜检查，寄生虫学检查
90.8500 上消化道标本和呕吐物的显微镜检查，毒理学检查
90.8600 上消化道标本和呕吐物的显微镜检查，细胞块和帕帕尼科拉乌涂片
90.8900 上消化道标本和呕吐物的显微镜检查其他显微镜检查
90.9100 下消化道标本和大便的显微镜检查，细菌涂片
90.9200 下消化道标本和大便的显微镜检查，培养
90.9300 下消化道标本和大便的显微镜检查，培养和敏感试验
90.9400 下消化道标本和大便的显微镜检查，寄生虫学检查
90.9500 下消化道标本和大便的显微镜检查，毒理学检查
90.9600 下消化道标本和大便的显微镜检查，细胞块和帕帕尼科拉乌涂片
90.9900 下消化道标本和大便的显微镜检查其他显微镜检查
91.0100 肝、胆道和胰腺标本的显微镜检查，细菌涂片
91.0200 肝、胆道和胰腺标本的显微镜检查，培养
91.0300 肝、胆道和胰腺标本的显微镜检查，培养和敏感试验
91.0400 肝、胆道和胰腺标本的显微镜检查，寄生虫学检查
91.0500 肝、胆道和胰腺标本的显微镜检查，毒理学检查
91.0600 肝、胆道和胰腺标本的显微镜检查，细胞块和帕帕尼科拉乌涂片
91.0900 肝、胆道和胰腺标本的显微镜检查其他显微镜检查
91.1100 腹膜和腹膜后标本的显微镜检查，细菌涂片
91.1200 腹膜和腹膜后标本的显微镜检查，培养
91.1300 腹膜和腹膜后标本的显微镜检查，培养和敏感试验
91.1400 腹膜和腹膜后标本的显微镜检查，寄生虫学检查
91.1500 腹膜和腹膜后标本的显微镜检查，毒理学检查
91.1600 腹膜和腹膜后标本的显微镜检查，细胞块和帕帕尼科拉乌涂片
91.1900 腹膜和腹膜后标本的显微镜检查其他显微镜检查
91.2100 肾、子宫、肾周和输尿管周围组织标本的显微镜检查，细菌涂片
91.2200 肾、子宫、肾周和输尿管周围组织标本的显微镜检查，培养
91.2300 肾、子宫、肾周和输尿管周围组织标本的显微镜检查，培养和敏感试验
91.2400 肾、子宫、肾周和输尿管周围组织标本的显微镜检查，寄生虫学检查
91.2500 肾、子宫、肾周和输尿管周围组织标本的显微镜检查，毒理学检查
91.2600 肾、子宫、肾周和输尿管周围组织标本的显微镜检查，细胞块和帕帕尼科拉乌涂片
91.2900 肾、子宫、肾周和输尿管周围组织标本的显微镜检查其他显微镜检查
91.3100 膀胱、尿道、前列腺、精囊、膀胱周围组织标本和尿及精液的显微镜检查，细菌涂片
91.3200 膀胱、尿道、前列腺、精囊、膀胱周围组织标本和尿及精液的显微镜检查，培养
91.3300 膀胱、尿道、前列腺、精囊、膀胱周围组织标本和尿及精液的显微镜检查，培养和敏感试验
91.3400 膀胱、尿道、前列腺、精囊、膀胱周围组织标本和尿及精液的显微镜检查，寄生虫学检查
91.3500 膀胱、尿道、前列腺、精囊、膀胱周围组织标本和尿及精液的显微镜检查，毒理学检查
91.3600 膀胱、尿道、前列腺、精囊、膀胱周围组织标本和尿及精液的显微镜检查，细胞块和帕帕尼科拉乌涂片
91.3900 膀胱、尿道、前列腺、精囊、膀胱周围组织标本和尿及精液的显微镜检查其他显微镜检查
91.4100 女性生殖道标本的显微镜检查，细菌涂片
91.4200 女性生殖道标本的显微镜检查，培养
91.4300 女性生殖道标本的显微镜检查，培养和敏感试验
91.4400 女性生殖道标本的显微镜检查，寄生虫学检查
91.4500 女性生殖道标本的显微镜检查，毒理学检查
91.4600 女性生殖道标本的显微镜检查，细胞块和帕帕尼科拉乌涂片
91.4900 女性生殖道标本的显微镜检查其他显微镜检查
91.5100 肌肉骨骼系统标本和关节积液的显微镜检查，细菌涂片
91.5200 肌肉骨骼系统标本和关节积液的显微镜检查，培养
91.5300 肌肉骨骼系统标本和关节积液的显微镜检查，培养和敏感试验
91.5400 肌肉骨骼系统标本和关节积液的显微镜检查，寄生虫学检查
91.5500 肌肉骨骼系统标本和关节积液的显微镜检查，毒理学检查
91.5600 肌肉骨骼系统标本和关节积液的显微镜检查，细胞块和帕帕尼科拉乌涂片
91.5900 肌肉骨骼系统标本和关节积液的显微镜检查其他显微镜检查
91.6100 皮肤和其他体被标本的显微镜检查，细菌涂片
91.6200 皮肤和其他体被标本的显微镜检查，培养
91.6300 皮肤和其他体被标本的显微镜检查，培养和敏感试验
91.6400 皮肤和其他体被标本的显微镜检查，寄生虫学检查
91.6500 皮肤和其他体被标本的显微镜检查，毒理学检查
91.6600 皮肤和其他体被标本的显微镜检查，细胞块和帕帕尼科拉乌涂片
91.6900 皮肤和其他体被标本的显微镜检查其他显微镜检查
91.7100 手术伤口标本的显微镜检查，细菌涂片
91.7200 手术伤口标本的显微镜检查，培养
91.7300 手术伤口标本的显微镜检查，培养和敏感试验
91.7400 手术伤口标本的显微镜检查，寄生虫学检查
91.7500 手术伤口标本的显微镜检查，毒理学检查
91.7600 手术伤口标本的显微镜检查，细胞块和帕帕尼科拉乌涂片
91.7900 手术伤口标本的显微镜检查其他显微镜检查
91.8100 其他部位标本的显微镜检查，细菌涂片
91.8200 其他部位标本的显微镜检查，培养
91.8300 其他部位标本的显微镜检查，培养和敏感试验
91.8400 其他部位标本的显微镜检查，寄生虫学检查
91.8500 其他部位标本的显微镜检查，毒理学检查
91.8600 其他部位标本的显微镜检查，细胞块和帕帕尼科拉乌涂片
91.8900 其他部位标本的显微镜检查其他显微镜检查
91.9100 未特指的部位标本显微镜检查，细菌涂片
91.9200 未特指的部位标本显微镜检查，培养
91.9300 未特指的部位标本显微镜检查，培养和敏感试验
91.9400 未特指的部位标本显微镜检查，寄生虫学检查
91.9500 未特指的部位标本显微镜检查，毒理学检查
91.9600 未特指的部位标本显微镜检查，细胞块和帕帕尼科拉乌涂片
91.9900 未特指的部位标本显微镜检查其他显微镜检查
92.0101 甲状腺核素扫描
92.0201 肝核素扫描
92.0300x002 肾清除率检查
92.0301 肾核素扫描
92.0400x001 胃食管核素检查
92.0401 胃肠核素扫描
92.0500x001 心肌核素显像
92.0501 心血管核素扫描
92.0502 骨髓核素扫描
92.0503 脾核素扫描
92.0900x001 肾上腺核素扫描
92.0900x002 其他放射性核素扫描
92.1101 脑核素扫描
92.1201 腮腺核素扫描
92.1202 耳咽管核素扫描
92.1300x001 甲状旁腺核素扫描
92.1401 骨核素扫描
92.1501 肺核素扫描
92.1601 淋巴系统核素扫描
92.1701 胎盘核素扫描
92.1800x001 全身核素扫描
92.1800x002 PET-CT 扫描
92.1801 全身正子 X 线断层显像-计算机断层显像
92.1900x001 唾液腺核素扫描
92.1901 肢体静脉核素扫描
92.1902 肢体动脉核素扫描
92.1903 腹部核素扫描
92.1904 盆腔核素扫描
92.1905 乳房核素扫描
92.2000 短程放射性核素治疗的液体输注
95.0101 配镜检查
