B95.000 A 族链球菌作为分类于其他章疾病的原因
B95.100 B 族链球菌作为分类于其他章疾病的原因
B95.200 D 组链球菌和肠球菌疾病作为其他章节疾病分类的原因
B95.300 肺炎链球菌作为分类于其他章疾病的原因
V94.x00 水上运输事故，其他的
V95.000 直升机事故伤及乘员
V95.100 超轻型、轻型或动力滑翔机事故伤及乘员
V95.200 有固定机翼的私人飞机事故伤及乘员，其他的
V95.300 有固定机翼的商用飞机事故伤及乘员
V95.400 航天飞行器事故伤及乘员
V95.800 飞行器事故伤及乘员，其他的
V95.900 飞行器事故伤及乘员
V95.900x091 飞行器事故
V96.000 气球事故伤及乘员
V96.100 悬吊滑翔机事故伤及乘员
V96.200 无动力滑翔机事故伤及乘员
V96.800 无动力飞行器事故伤及乘员，其他的
V96.900 无动力飞行器事故伤及乘员
V97.000 在其他特指空中运输事故中飞行器乘员的损伤
V97.100 在上下飞行器时的人员损伤
V97.200 空中运输事故中跳伞者的损伤
V97.300 空中运输事故中地面人员的损伤
V97.800 空中运输事故，其他的,不可归类在他处者
V98.x00 运输事故，其他特指的
V99.x00 运输事故
W00.x00 在涉及冰和雪的同一平面上跌倒
W01.x00 在同一平面上滑倒、绊倒和摔倒
W02.x00 涉及溜冰、滑雪、溜旱冰或滑板时的跌倒
W03.x00 被别人碰撞或推动引起的在同一平面上的其他跌倒
W04.x00 在被他人运送或搀扶时跌倒
W05.x00 涉及轮椅上的跌落
W06.x00 涉及床上的跌落
W07.x00 涉及椅子上的跌落
W08.x00 涉及其他家具上的跌落
W09.x00 涉及运动场设施上的跌落
W10.x00 在楼梯或台阶上跌倒和跌落
W11.x00 在梯子上跌倒和跌落
W12.x00 在脚手架上跌倒和跌落
W13.x00 从房屋或建筑结构上跌落或跌出
W14.x00 从树上跌落
W15.x00 从悬崖上跌落
W16.x00 潜水或跳水引起的损伤，除外淹溺和沉没
W17.x00 从一个平面至另一平面的其他跌落
W18.x00 在同一平面的其他跌倒
W19.x00 跌倒
W20.x00 被投掷、抛出或坠落物体击中
W21.x00 撞在体育设施上或被体育设施击中
W22.x00 撞在其他物体上或被其他物体击中
W23.x00 被物体钩住、挤压、轧住或夹住
W24.x00 接触升降和传送装置，不可归类在他处者
W25.x00 接触锋利的玻璃
W26.000 接触刀、剑或匕首
W26.800 接触其他尖锐的物体,不可分类他处者
W26.900 接触其他未特指的尖锐物体
W27.x00 接触无动力手工工具
W28.x00 接触动力割草机
W29.x00 接触其他动力手工工具和家用机械
W30.x00 接触农业机械
W31.x00 接触其他的机械
W32.x00 手枪发射
W33.x00 步枪、猎枪和较大火器发射
W34.x00 火器发射，其他的
W35.x00 锅炉爆炸和破裂
W36.x00 高压气罐爆炸和破裂
W37.x00 压缩轮胎、管子和软管爆炸和破裂
W38.x00 压缩装置的爆炸和破裂，其他特指的
W39.x00 烟火发射
W40.x00 材料爆炸，其他的
W41.x00 暴露于高压喷射下
W42.x00 暴露于噪声下
W43.x00 暴露于振动下
W44.x00 异物进入或穿入眼或自然腔口
W45.x00 异物或物体经皮肤进入
W46.x00 接触皮下注射器针头
W49.x00 暴露于其他的无生命机械性力量下
W50.x00 被别人殴打、踢、拧、咬或抓伤
W51.x00 撞到别人或意外被别人碰撞
W52.x00 被蜂拥人群挤压、推挤或踏踩
W53.x00 被鼠咬伤
W54.x00 被狗咬伤或抓伤
W55.x00 被其他哺乳动物咬伤或抓伤
W56.x00 接触海生动物的损伤
W57.x00 被无毒昆虫和其他无毒节肢动物咬伤或蜇伤
W58.x00 被鳄鱼或短吻鳄咬伤或抓伤
W59.x00 被其他爬行动物咬伤或压伤
W60.x00 接触植物荆棘和刺以及锐利叶片的损伤
W64.x00 暴露于其他的有生命机械性力量下
W65.x00 在浴盆内淹溺和沉没
W66.x00 落入浴盆后淹溺和沉没
W67.x00 在游泳池中淹溺和沉没
W68.x00 落入游泳池后淹溺和沉没
W69.x00 在自然水域中淹溺和沉没
W70.x00 落入自然水域后淹溺和沉没
W73.x00 淹溺和沉没，其他特指的
W74.x00 淹溺和沉没
W75.x00 在床上意外窒息和绞窄
W76.x00 意外悬吊和绞窄，其他的
W77.x00 塌方、坠落土块和其他物质引起对呼吸的威胁
W78.x00 吸入胃内容物
W79.x00 吸入或咽下食物引起的呼吸道梗阻
W80.x00 吸入和咽下其他物体引起的呼吸道梗阻
W81.x00 被封闭于或陷入低氧环境
W83.x00 对呼吸的威胁，其他特指的
W84.x00 对呼吸的威胁
W85.x00 暴露于输电线路下
W86.x00 暴露于其他特指的电流下
W87.x00 暴露于电流下
W88.x00 暴露于电离辐射下
W89.x00 暴露于人造可见光和紫外线下
W90.x00 暴露于其他非电离辐射下
W91.x00 暴露于辐射下
W92.x00 暴露于人为原因的过热环境下
W93.x00 暴露于人为原因的过冷环境下
W94.x00 暴露于高气压、低气压和气压改变环境下
W99.x00 暴露于其他人为环境因素下
X00.x00 暴露于房屋或建筑结构内的无控制性火焰下
X01.x00 暴露于房屋或建筑结构外的无控制性火焰下
X02.x00 暴露于房屋或建筑结构内的控制性火焰下
X03.x00 暴露于房屋或建筑结构外的控制性火焰下
X04.x00 暴露于高度易燃材料的起火下
X05.x00 暴露于睡衣的起火或焚毁下
X06.x00 暴露于其他衣着用品和装饰品的起火或焚毁下
X08.x00 暴露于其他特指的烟、火和火焰下
X09.x00 暴露于烟、火和火焰下
X10.x00 接触热饮料、食物和动植物油
X11.x00 接触热自来水
X12.x00 接触其他热液体
X13.x00 接触蒸气和热蒸气
X14.x00 接触热空气和气体
X15.x00 接触热的家用器具
X16.x00 接触热的取暖器具、散热器和管
X17.x00 接触热的发动机、机械和工具
X18.x00 接触其他热的金属
X19.x00 接触其他的热和烫的物质
X20.x00 接触毒蛇和蜥蜴
X21.x00 接触毒蜘蛛
X22.x00 接触蝎子
X23.x00 接触大黄蜂、黄蜂和蜜蜂
X24.x00 接触蜈蚣和（热带）有毒的千足虫
X25.x00 接触其他有毒的节肢动物
X26.x00 接触有毒的海生动物和植物
X27.x00 接触其他特指的有毒动物
X28.x00 接触其他特指的有毒植物
X29.x00 接触有毒动物或植物
X30.x00 暴露于过度自然热下
X31.x00 暴露于过度自然冷下
X32.x00 暴露于阳光下
X33.x00 闪电的受害者
X34.000 地震受害者
X34.100 海啸受害者
X34.800 地震其他特定影响的受害者
X34.900 地震未特指影响的受害者
X34.900x091 地震所致损伤
X35.x00 火山爆发受害者
X36.x00 雪崩、山崩和其他地面运动受害者
X37.x00 灾难性暴风雨受害者
X38.x00 洪水受害者
X39.x00 暴露于其他的自然力量下
X40.x00 非阿片样镇痛药、解热药和抗风湿药的意外中毒及暴露于该类药物
X41.x00 镇癫痫药、镇静催眠药、抗帕金森病药和对精神有影响的药物的意外中毒及暴露于该类药物，不可归类在他处者
X42.x00 麻醉品和致幻药[致幻剂]意外中毒及暴露于该类药物，不可归类在他处者
X43.x00 作用于自主神经系统的其他药物的意外中毒及暴露于该类药物
X44.x00 药物、药剂和生物制品的意外中毒及暴露于该类物质，其他的
X45.x00 酒精的意外中毒及暴露于酒精
X46.x00 有机溶剂和卤素烃及其蒸气的意外中毒及暴露于该类物质
X47.000 意外中毒暴露于燃烧发动机排气中产生的一氧化碳
X47.100 意外中毒暴露于使用的气体排放的一氧化碳
X47.200 意外中毒暴露于其他家用燃料中的一氧化碳
X47.300 意外中毒暴露于其他来源中的一氧化碳
X47.400 意外中毒暴露于不明气体中的一氧化碳
X47.800 意外中毒暴露于其他特殊气体和蒸汽
X47.900 意外中毒暴露于未特指气体和蒸汽
X47.900x091 家庭火炉的一氧化碳意外中毒
X47.900x092 煤气管道气体意外中毒
X47.900x093 燃气热水器气体意外中毒
X47.900x094 机动集装箱分发的液化石油气意外中毒
X47.900x095 二氧化硫意外中毒
X47.900x096 氧化氮类意外中毒
X47.900x097 催泪气[泪气]意外中毒
X47.900x098 氟利昴意外中毒
X47.900x099 砷化氢意外中毒
X47.900x910 一氧化碳意外中毒
X47.900x911 氮意外中毒
X47.900x912 氯气意外中毒
X47.900x913 硫化氢意外中毒
X47.900x915 氨气意外中毒
X47.900x916 液化石油气意外中毒
X47.900x917 总烃油蒸气意外中毒
X47.900x918 经管道分发的气体意外中毒
X48.x00 杀虫剂的意外中毒及暴露于杀虫剂
X49.x00 化学制品和有害物质的意外中毒及暴露于该类物质，其他的
X50.x00 操劳过度和剧烈或重复运动
X51.x00 旅行和运动
X52.x00 长期滞留在失重环境下
X53.x00 食物缺乏
X54.x00 水缺乏
X57.x00 贫困
X58.x00 暴露于其他特指的因素下
X59.000 暴露于未特指因素导致的骨折
X59.900 暴露于因素导致其他的损伤
X59.900x091 复合性外伤
X59.900x092 骨折
X59.900x093 军训中意外损伤
X59.900x094 暴露
X59.900x095 体育活动中受伤
X59.900x096 意外事故
X59.900x097 工作中的意外损伤
X60.x00 非阿片样镇痛药、解热药和抗风湿药的故意自毒及暴露于该类药物
X61.x00 镇癫痫药、镇静催眠药、抗帕金森病药和对精神有影响的药物的故意自毒及暴露于该类药物，不可归类在他处者
X62.x00 麻醉品和致幻药[致幻剂]故意自毒及暴露于该类药物，不可归类在他处者
X63.x00 作用于自主神经系统的其他药物的故意自毒及暴露于该类药物
X64.x00 药物、药剂和生物制品的故意自毒及暴露于该类药物，其他的
X65.x00 酒精的故意自毒及暴露于酒精
X66.x00 有机溶剂和卤素烃及其蒸气的故意自毒及暴露于该类物质
X67.000 暴露于内燃机排放的一氧化碳的故意自毒
X67.100 暴露于使用气体中的一氧化碳的故意自毒
X67.200 暴露于其他家用燃料中的一氧化碳的故意自毒
X67.300 暴露于其他来源中的一氧化碳的故意自毒
X67.400 暴露于未特指来源中的一氧化碳的故意自毒
X67.800 暴露于其他气体和蒸气的故意自毒
X67.900 暴露于未特指气体和蒸气的故意自毒
X67.900x091 管道分发的气体自杀
X67.900x092 瓶装液化石油气体自杀
X67.900x093 二氧化硫自杀
X67.900x094 氧化氮类自杀
X67.900x095 催泪气体[催泪瓦斯]自杀
X67.900x096 一氧化碳自杀
X67.x00 气体和蒸气的故意自毒及暴露于该类物质，其他的
X68.x00 杀虫剂的故意自毒及暴露于杀虫剂
X69.x00 化学制品和有害物质的故意自毒及暴露于该类物质，其他的
X70.x00 用悬吊、绞勒和窒息方式故意自害
X71.x00 用淹溺和沉没方式故意自害
X72.x00 用手枪发射方式故意自害
X73.x00 用步枪、猎枪和大型火器发射方式故意自害
X74.x00 用其他的火器发射方式故意自害
X75.x00 用爆炸物方式故意自害
X76.x00 用烟、火和火焰方式故意自害
X77.x00 用蒸气、热气和热物体方式故意自害
X78.x00 用尖锐物体方式故意自害
X79.x00 用钝器方式故意自害
X80.x00 用从高处跳下方式故意自害
X81.x00 用跳下或躺倒在移动物体前的方式故意自害
X82.x00 用机动车辆碰撞方式故意自害
X83.x00 用其他特指的方式故意自害
X84.x00 故意自害
X85.x00 用药物、药剂和生物制品进行加害
X86.x00 用腐蚀性物质进行加害
X87.x00 用杀虫剂进行加害
X88.000 暴露于内燃机排放的一氧化碳的加害
X88.100 暴露于使用气体中的一氧化碳的加害
X88.200 暴露于其他家用燃料中的一氧化碳的加害
X88.300 暴露于其他来源中的一氧化碳的加害
X88.400 暴露于未特指来源中的一氧化碳的加害
X88.800 暴露于其他气体和蒸气的加害
X88.900 暴露于未特指气体和蒸气的加害
X88.x00 用气体和蒸气进行加害
X89.x00 用其他特指的化学制品和有害物质进行加害
X90.x00 用化学制品或有害物质进行加害
X91.x00 用悬吊、绞勒和窒息进行加害
X92.x00 用淹溺和沉没进行加害
X93.x00 用手枪发射进行加害
X94.x00 用步枪、猎枪和大型火器发射进行加害
X95.x00 用其他的火器发射进行加害
X96.x00 用爆炸物进行加害
X97.x00 用烟、火和火焰进行加害
X98.x00 用蒸气、热气和热物体进行加害
X99.x00 用尖锐物体进行加害
Y00.x00 用钝器进行加害
Y01.x00 用从高处推下进行加害
Y02.x00 用将受害者推向或放置在移动物体前进行加害
Y03.x00 用机动车辆碰撞进行加害
Y04.x00 用暴力进行加害
Y05.x00 暴力的性加害
Y06.000 被配偶或伴侣忽视照料和遗弃
Y06.100 被父母忽视照料和遗弃
Y06.200 被熟人或朋友忽视照料和遗弃
Y06.800 被其他特指人员忽视照料和遗弃
Y06.900 被忽视照料和遗弃
Y07.000 被配偶或伴侣虐待
Y07.100 被父母虐待
Y07.200 被熟人或朋友虐待
Y07.300 被官方机构虐待
Y07.800 被其他特指人员虐待
Y07.900 被虐待
Y07.900x091 被人虐待
Y08.x00 用其他特指的手段进行加害
Y09.x00 用手段进行加害
Y10.x00 非阿片样镇痛药、解热药和抗风湿药的中毒及暴露于该类药物，意图不确定的
Y11.x00 镇癫痫药、镇静催眠药、抗帕金森病药和对精神有影响的药物的中毒及暴露于该类药物，不可归类在他处，意图不确定的
Y12.x00 麻醉品和致幻药[致幻剂]的中毒及暴露于该类药物，不可归类在他处，意图不确定的
Y13.x00 作用于自主神经系统的其他药物的中毒及暴露于该类药物，意图不确定的
Y14.x00 药物、药剂和生物制品的中毒及暴露于该类药物，意图不确定的，其他的
Y15.x00 酒精中毒及暴露于酒精，意图不确定的
Y16.x00 有机溶剂和卤素烃及其蒸气的中毒及暴露于该类物质，意图不确定的
Y17.000 燃烧发动机废气中的一氧化碳中毒及暴露于该类物质，意图不确定
Y17.100 使用气体中的一氧化碳的中毒及暴露于该类物质，意图不确定
Y17.200 家用燃料中的一氧化碳的中毒及暴露于该类物质，意图不确定
Y17.300 暴露于其他来源中的一氧化碳的中毒，意图不确定
Y17.400 暴露于未特指来源中的一氧化碳的中毒，意图不确定
Y17.800 暴露于其他气体和蒸气的中毒，意图不确定
Y17.900 暴露于未特指气体和蒸气的中毒，意图不确定
Y17.900x091 原因不明的暴露于机动车辆的排除的气体中毒,意图不确定的
Y17.900x092 原因不明的暴露于液化石油气的中毒
Y17.900x093 原因不明的暴露于其他特指的实用气体中毒
Y17.900x094 原因不明的一氧化碳中毒
Y17.900x095 原因不明的催泪气体[催泪器]中毒
Y17.900x096 原因不明的氧化氮类中毒
Y17.900x097 原因不明的二氧化硫中毒
Y18.x00 杀虫剂的中毒及暴露于杀虫剂，意图不确定的
Y19.x00 化学制品和有害物质的中毒及暴露于该类物质，意图不确定的，其他的
Y20.x00 悬吊、绞勒和窒息，意图不确定的
Y21.x00 淹溺和沉没，意图不确定的
Y22.x00 手枪发射，意图不确定的
Y23.x00 步枪、猎枪和大型火器发射，意图不确定的
Y24.x00 火器发射，意图不确定的，其他的
Y25.x00 接触爆炸物，意图不确定的
Y26.x00 暴露于烟、火和火焰下，意图不确定的
Y27.x00 接触蒸气、热气和热物体，意图不确定的
Y28.x00 接触尖锐物体，意图不确定的
Y29.x00 接触钝器，意图不确定的
Y30.x00 从高处跌落、跳下或被推下，意图不确定的
Y31.x00 在移动物体前跌倒、躺卧或跑动以及进入移动物体，意图不确定的
Y32.x00 机动车辆的碰撞，意图不确定的
Y33.x00 事件，其他特指的意图不确定
Y34.x00 事件，意图不确定的
Y35.000 涉及火器发射的依法处置
Y35.000x001 用手枪枪击的依法处置
Y35.000x002 用步枪枪击的依法处置
Y35.000x003 用霰弹枪枪击的依法处置
Y35.000x004 用小口径枪枪击的依法处置
Y35.000x005 用大口径枪枪击的依法处置
Y35.000x009 用火器的依法处置
Y35.100 涉及爆炸物的依法处置
Y35.200 涉及气体的依法处置
Y35.300 涉及钝器的依法处置
Y35.400 涉及锐器的依法处置
Y35.500 依法处以死刑
Y35.600 涉及其他特指手段的依法处置
Y35.700 依法处置
Y36.000 涉及水中武器爆炸的作战行动
Y36.100 涉及飞行器被破坏的作战行动
Y36.200 涉及其他爆炸和弹片的作战行动
Y36.200x001 枪弹和弹片所引起的战争损伤
Y36.200x002 爆炸引起的战争损伤
Y36.300 涉及炮火、大火和热物质的作战行动
Y36.300x001 燃烧和大火引起的战争损伤
Y36.300x002 汽油炸弹
Y36.400 涉及常规战争的火器发射和其他形式的作战行动
Y36.400x001 由于手枪所引起的战争损伤
Y36.400x002 由于气枪所引起的战争损伤
Y36.400x003 由于霰弹猎枪所引起的战争损伤
Y36.400x004 由于小口径步枪所引起的战争损伤
Y36.400x005 由于大口径步枪所引起的战争损伤
Y36.500 涉及核武器的作战行动
Y36.600 涉及生物武器的作战行动
Y36.700 涉及非常规战争的化学武器或其他形式的作战行动
Y36.700x001 由于化学武器所引起的战争损伤
Y36.700x002 由于激光武器所引起的战争损伤
Y36.800 发生在敌对行动停止后的作战行动
Y36.900 作战行动
Y36.900x001 在战争中损伤
Y40.000 青霉素类的有害效应
Y40.100 头孢菌素和其他β内酰胺类抗生素的有害效应
Y40.100x001 先锋霉素族[头孢菌素族]药物反应
Y40.200 氯霉素族的有害效应
Y40.300 大环内酯类的有害效应
Y40.300x001 红霉素药物反应
Y40.300x002 麦迪霉素药物反应
Y40.300x004 螺旋霉素药物反应
Y40.400 四环素类的有害效应
Y40.400x002 四环素族药物反应
Y40.500 氨基糖苷类的有害效应
Y40.500x001 链霉素药物反应
Y40.500x002 卡那霉素药物反应
Y40.500x003 庆大霉素药物反应
Y40.600 利福霉素类的有害效应
Y40.700 全身性应用的抗真菌性抗生素的有害效应
Y40.700x001 制菌霉素药物反应
Y40.800 全身性抗生素的有害效应,其他的
Y40.800x002 洁霉素药物反应
Y40.800x003 合霉素药物反应
Y40.800x004 氟哌酸药物反应
Y40.900 全身性抗生素的有害效应
Y41.000 磺胺类的有害效应
Y41.000x002 氯苯砜药物反应
Y41.100 抗分枝杆菌药的有害效应
Y41.100x001 吡嗪酰胺药物反应
Y41.100x002 雷米封药物反应
Y41.200 抗疟疾和对其他血液原虫有作用的药的有害效应
Y41.200x001 氯喹药物反应
Y41.300 抗原虫药的有害效应，其他的
Y41.400 驱蠕虫药的有害效应
Y41.400x001 吡喹酮药物反应
Y41.500 抗病毒药的有害效应
Y41.800 全身性抗感染药和抗寄生虫药的有害效应，其他特指的
Y41.800x001 痢特灵药物反应
Y41.800x002 呋喃坦啶药物反应
Y41.800x003 灭滴灵药物反应
Y41.800x004 吡哌酸药物反应
Y41.800x005 羟基喹啉衍生物药物反应
Y41.900 全身性抗感染药和抗寄生虫药的有害效应
Y42.000 糖（肾上腺）皮质激素类及其合成的类似物的有害效应
Y42.000x001 可的松药物反应
Y42.000x002 强的松药物反应
Y42.100 甲状腺激素类及其代用品的有害效应
Y42.100x001 他巴唑药物反应
Y42.200 抗甲状腺药的有害效应
Y42.300 胰岛素和口服降血糖（抗糖尿病）药的有害效应
Y42.300x001 胰岛素药物反应
Y42.300x002 降糖灵药物反应
Y42.400 口服避孕药的有害效应
Y42.400x001 棉酚药物反应
Y42.500 雌激素和孕激素类的有害效应，其他的
Y42.600 抗促性腺激素药、抗雌激素药和抗雄激素药的有害效应，不可归类在他处者
Y42.700 雄激素类及其促组成代谢的同类药的有害效应
Y42.800 激素类及其合成代用品的有害效应，其他的
Y42.900 激素类拮抗剂的有害效应，其他的
Y42.900x001 激素药物反应
Y43.000 抗过敏药和止吐药的有害效应
Y43.000x001 灭吐灵（胃复安）药物反应
Y43.000x002 扑尔敏药物反应
Y43.100 抗肿瘤性抗代谢物药的有害效应
Y43.200 抗肿瘤性天然产物的有害效应
Y43.300 抗肿瘤性药的有害效应，其他
Y43.300x002 化疗药物反应
Y43.300x003 门冬酰安药物反应
Y43.300x004 正定霉素药物反应
Y43.400 免疫抑制剂的有害效应
Y43.400x001 雷公滕药物反应
Y43.400x002 依木兰药物反应
Y43.500 酸化和碱化剂的有害效应
Y43.600 酶类的有害效应，不可归类在他处者
Y43.800 主要为全身性制剂的有害效应，其他的，不可归类在他处者
Y43.900 主要为全身性制剂的有害效应
Y44.000 铁制剂和其他抗血红蛋白过少性贫血制剂的有害效应
Y44.100 维生素 B12、叶酸和其他抗巨幼细胞性贫血制剂的有害效应
Y44.100x001 维生素 B12 药物反应
Y44.200 抗凝剂的有害效应
Y44.300 抗凝拮抗剂、维生素 K 和其他凝血药的有害效应
Y44.300x001 维生素 K[维生素 K1]药物反应
Y44.400 抗血栓形成药[血小板聚集抑制剂]的有害效应
Y44.500 血栓溶解药的有害效应
Y44.600 天然血液和血液制品的有害效应
Y44.700 血浆代用品的有害效应
Y44.700x001 右旋糖酐药物反应
Y44.900 影响血液组成成分的其他和未特指制剂的有害效应
Y45.000 类阿片和相关镇痛药的有害效应
Y45.000x001 阿片制剂药物反应
Y45.100 水杨酸盐类的有害效应
Y45.100x001 阿斯匹林药物反应
Y45.200 丙酸衍生物的有害效应
Y45.300 非类固醇性消炎药[NSAID]的有害效应，其他的
Y45.300x001 保泰松药物反应
Y45.300x002 消炎痛药物反应
Y45.400 抗风湿药的有害效应
Y45.400x001 抗风湿剂类[消炎剂类]药物反应
Y45.500 4-氨基苯酚衍生物的有害效应
Y45.500x001 扑热息痛药物反应
Y45.800 镇痛药和解热药的有害效应，其他的
Y45.800x001 感冒药物反应
Y45.800x003 去痛药药物反应
Y45.800x004 痛可宁药物反应
Y45.800x005 吡唑衍生物类
Y45.900 镇痛药、解热药和消炎药的有害效应
Y45.900x001 解热镇痛剂药物反应
Y46.000 琥珀酰亚胺的有害效应
Y46.100 恶唑烷二酮的有害效应
Y46.200 乙内酰脲衍生物的有害效应
Y46.200x001 苯妥英纳药物反应
Y46.300 去氧巴比妥盐类的有害效应
Y46.400 亚氨基二苯乙烯类的有害效应
Y46.400x001 卡马西平药物反应
Y46.500 丙戊酸的有害效应
Y46.600 镇癫痫药的有害效应，其他和未特指的
Y46.600x001 恶唑烷衍生物类
Y46.700 抗帕金森病药的有害效应
Y46.800 镇痉药的有害效应
Y47.000 巴比妥盐类的有害效应，不可归类在他处者
Y47.000x002 鲁米那药物反应
Y47.100 苯二氮类的有害效应
Y47.100x001 苯并二氮卓基类安定药（卓有草头）药物反应
Y47.200 氯醛衍生物的有害效应
Y47.200x001 水化氯醛类药物反应
Y47.300 三聚乙醛的有害效应
Y47.400 溴化合物的有害效应
Y47.500 混合的镇静剂和催眠药的有害效应，不可归类在他处者
Y47.800 镇静剂、催眠药和抗焦虑药的有害效应，其他的
Y47.800x002 安眠酮化合物药物反应
Y47.800x003 苯乙哌啶酮类[导眠能族]药物反应
Y47.900 镇静剂、催眠药和抗焦虑药的有害效应
Y48.000 吸入性麻醉药的有害效应
Y48.000x001 氟烷[哈乐森,三氟溴氯乙烷]反应
Y48.100 胃肠外麻醉药的有害效应
Y48.100x001 静脉内麻醉剂类药物反应
Y48.200 全身麻醉药的有害效应，其他的
Y48.300 局部麻醉药的有害效应
Y48.300x001 普鲁卡因药物反应
Y48.300x002 周围神经和神经丛阻滞麻醉类药物反应
Y48.300x003 地卡因药物反应
Y48.300x004 表面和浸润麻醉剂类药物反应
Y48.400 麻醉药的有害效应
Y48.500 治疗性气体的有害效应
Y49.000 三环和四环抗抑郁药的有害效应
Y49.100 单胺-氧化酶-抑制剂抗抑郁药的有害效应
Y49.200 抗抑郁药的有害效应，其他的
Y49.300 吩噻嗪抗精神病药和精神安定剂的有害效应
Y49.300x001 氯丙嗪药物反应
Y49.300x002 非那根药物反应
Y49.400 丁酰苯和硫蒽精神安定剂的有害效应
Y49.500 抗精神病药和精神安定剂的有害效应，其他的
Y49.500x001 抗精神病药物反应
Y49.600 致幻药[致幻剂]的有害效应
Y49.700 伴有滥用可能性的精神兴奋剂的有害效应
Y49.800 对精神有影响的药物的有害效应，其他的不可归类在他处者
Y49.900 对精神有影响的药物的有害效应
Y50.000 复苏药的有害效应
Y50.100 类阿片受体拮抗剂的有害效应
Y50.200 甲基黄嘌呤类的有害效应，不可归类在他处者
Y50.800 中枢神经系统兴奋剂的有害效应，其他的
Y50.900 中枢神经系统兴奋剂的有害效应
Y51.000 抗胆碱酯酶剂的有害效应
Y51.100 拟副交感神经药[胆碱能药]的有害效应，其他的
Y51.200 神经节阻滞药的有害效应，不可归类在他处者
Y51.300 副交感神经抑制剂[抗胆碱能药和抗毒蕈碱药]和解痉药的有害效应，其他的，不可归类在他处者
Y51.300x001 颠茄药物反应
Y51.300x003 阿托品药物反应
Y51.400 主要为α肾上腺素能受体显效药的有害效应，不可归类在他处者
Y51.500 主要为β肾上腺素能受体显效药的有害效应，不可归类在他处者
Y51.500x001 肾上腺素药物反应
Y51.600 α肾上腺素能受体拮抗剂的有害效应，不可归类在他处者
Y51.700 β肾上腺素能受体拮抗剂的有害效应，不可归类在他处者
Y51.700x001 噻吗心安药物反应
Y51.800 中枢作用和肾上腺素能-神经元-阻滞剂的有害效应，不可归类在他处者
Y51.900 主要影响自主神经系统的其他和未特指药物的有害效应
Y51.900x001 麻黄素药物反应
Y51.900x002 多巴胺药物反应
Y52.000 心脏兴奋苷和相似作用药的有害效应
Y52.000x001 地高辛药物反应
Y52.000x002 洋地黄药物反应
Y52.100 钙通道阻滞剂的有害效应
Y52.100x001 心痛定药物反应
Y52.200 抗心律障碍药的有害效应，其他的，不可归类在他处者
Y52.200x001 心律调节剂药物反应
Y52.200x002 奎尼丁药物反应
Y52.200x003 乙胺碘呋酮药物反应
Y52.300 冠状血管扩张剂的有害效应，不可归类在他处者
Y52.300x001 潘生丁药物反应
Y52.300x002 硝酸异山梨醇酯药物反应
Y52.300x003 硝酸甘油药物反应
Y52.400 血管紧张素转换酶抑制剂的有害效应
Y52.400x001 巯甲丙脯酸药物反应
Y52.500 抗高血压药的有害效应，其他的,不可归类在他处者
Y52.500x001 利血平药物反应
Y52.500x002 复方降压片药物反应
Y52.600 抗高脂血症和抗动脉硬化药的有害效应
Y52.700 周围血管扩张剂的有害效应
Y52.800 抗静脉曲张药（包括硬化剂）的有害效应
Y52.900 主要影响心血管系统的其他和未特指制剂的有害效应
Y53.000 组胺 H2 受体拮抗剂的有害效应
Y53.000x001 甲腈咪胍药物反应
Y53.000x002 雷尼替丁药物反应
Y53.100 抗酸药和抗胃分泌药的有害效应，其他的
Y53.200 刺激性轻泻剂的有害效应
Y53.300 盐水和渗透性轻泻剂的有害效应
Y53.400 轻泻剂的有害效应,其他的
Y53.500 助消化药的有害效应
Y53.600 止泻药的有害效应
Y53.700 催吐药的有害效应
Y53.800 主要影响胃肠系统制剂的有害效应，其他的
Y53.900 主要影响胃肠系统制剂的有害效应
Y54.000 盐（肾上腺）皮质激素类的有害效应
Y54.100 盐（肾上腺）皮质激素类拮抗剂[醛固酮拮抗剂]的有害效应
Y54.200 碳酸脱水酶抑制剂的有害效应
Y54.300 苯并噻二嗪衍生物的有害效应
Y54.300x001 双氢克尿噻药物反应
Y54.400 袢[强效]利尿剂的有害效应
Y54.500 利尿剂的有害效应，其他的
Y54.500x001 汞利尿药类反应
Y54.500x002 排盐利尿剂类反应
Y54.500x003 嘌呤衍生物利尿剂类反应
Y54.600 电解质、热量和水平衡剂的有害效应
Y54.700 影响钙化的制剂的有害效应
Y54.800 影响尿酸代谢的制剂的有害效应
Y54.800x001 别嘌呤醇药物反应
Y54.800x002 尿酸代谢药类反应
Y54.900 矿物质盐类的有害效应，不可归类在他处者
Y54.900x001 氯化钾药物反应
Y55.000 催产药的有害效应
Y55.000x002 麦角生物碱药物反应
Y55.100 骨骼肌松弛剂[神经肌肉阻滞剂]的有害效应
Y55.200 主要作用于肌肉的其他制剂的有害效应
Y55.200x001 平滑肌松驰剂类药物反应
Y55.300 镇咳剂的有害效应
Y55.400 祛痰剂的有害效应
Y55.500 抗感冒药的有害效应
Y55.500x001 复方阿斯匹林药物反应
Y55.600 抗哮喘药的有害效应，不可归类在他处者
Y55.600x002 氨茶碱类药物反应
Y55.600x003 舒喘宁类药物反应
Y55.600x004 可可（豆）碱类药物反应
Y55.600x005 茶碱类药物反应
Y55.700 主要作用于呼吸系统的其他制剂的有害效应
Y56.000 局部抗真菌、抗感染和消炎药的有害效应，不可归类在他处者
Y56.000x001 碘药物反应
